Titulo,Serviço,Grupo,Ação,Avaliação,Publicação,Localidade,Matriz de Achados?,a. Questões de Auditoria,b. Subquestões de Auditoria,c. Descrição sumária,d. Critério (O que deveria ser),e. Condição ou situação encontrada (O que é) [achados],f. Evidências,g. Informação extraída das evidências,h. Causas,i. Efeitos,j. Boas Práticas,k. Recomendações,l. Benefícios esperados,m. Manifestação,n. Conclusões
Relatório de Auditoria nº 201700011 - Universidade Federal de Pernambuco,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,3/1/2018,Recife/PE,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Relatório de Auditoria nº 201701628 - Fundação Universidade Federal do Tocantins,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Palmas/TO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Relatório de Auditoria Anual de Contas nº 201700863 - Universidade Federal de Lavras - exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/3/2018,Lavras/MG,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria nº 201700080 - Universidade Federal dos Vales do Jequitinhonha e Mucuri,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Diamantina/MG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Relatório nº 201603422 - Universidade Federal de Ciências da Saúde em Porto Alegre,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Porto Alegre/RS,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201505630 - Universidade Federal de ouro Preto,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Ouro Preto/MG,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201601718 - Universidade Federal de Alfenas,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Alfenas/MG,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201505632 - Universidade Federal de Juiz de Fora,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Juiz de Fora/MG,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201505629 - Universidade Federal dos Vales do Jequitinhonha e Mucuri,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/3/2018,Diamantina/MG,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1
"Relatório de Auditoria nº 201700872 - Instituto Federal de Educação, Ciência e Tecnologia - Paraíba - Exercício 2016",Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/4/2018,João Pessoa/PB,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1
